# Constructed from biom file
#OTU ID	PCR-neg-1	PCR-neg-2	Sa-01	Sa-05	Sem-01	Sem-03	Sk-01	Sk-04	V-01	V-03
AY995250.1.1365	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	6128.0	7670.0
GFIM01005958.9.1236	0.0	1842.0	0.0	0.0	18.0	97.0	3089.0	4415.0	0.0	0.0
EU293341.1.1257	0.0	1479.0	0.0	0.0	6.0	0.0	78.0	144.0	0.0	2.0
HAAC01027432.1.1206	0.0	0.0	0.0	0.0	0.0	3.0	1641.0	1620.0	0.0	0.0
MH447042.1.1230	0.0	0.0	0.0	0.0	119.0	524.0	48.0	803.0	0.0	0.0
KF803585.1.1370	0.0	1811.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0
AB071950.1.1341	0.0	2096.0	0.0	0.0	8.0	0.0	243.0	17.0	0.0	0.0
FJ981654.1.1204	0.0	0.0	0.0	0.0	37.0	124.0	24.0	194.0	0.0	0.0
JF168303.1.1318	0.0	0.0	0.0	0.0	122.0	805.0	16.0	4.0	0.0	4.0
HQ810027.1.1241	0.0	0.0	426.0	95.0	90.0	50.0	14.0	109.0	0.0	0.0
JQ855614.1.1252	0.0	0.0	0.0	0.0	71.0	240.0	0.0	80.0	0.0	0.0
FJ217186.1.1455	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
EU704912.1.1289	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
JQ460118.1.1339	0.0	0.0	653.0	175.0	0.0	0.0	0.0	0.0	0.0	0.0
AB680259.1.1475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
KY780350.1.1207	0.0	1069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MH447052.1.1239	0.0	0.0	152.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ562154.1.1226	0.0	0.0	0.0	0.0	0.0	0.0	7.0	114.0	0.0	0.0
MK000629.1.1213	0.0	0.0	0.0	0.0	0.0	0.0	112.0	424.0	0.0	0.0
EU801584.1.1413	0.0	0.0	0.0	0.0	6.0	0.0	170.0	0.0	0.0	0.0
HM021549.1.1459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
KU324914.1.1231	0.0	0.0	0.0	0.0	0.0	0.0	102.0	1876.0	0.0	0.0
MH235996.1.1215	0.0	628.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
JF220967.1.1337	0.0	0.0	332.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
KU324909.1.1217	0.0	0.0	0.0	0.0	0.0	0.0	85.0	335.0	0.0	0.0
KF084442.1.1326	0.0	0.0	0.0	0.0	30.0	240.0	0.0	5.0	0.0	13.0
GQ083830.1.1341	0.0	0.0	0.0	0.0	0.0	37.0	0.0	19.0	0.0	0.0
EU764527.1.1303	0.0	0.0	234.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ522957.1.1351	0.0	494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGD01000016.303.1794	0.0	0.0	0.0	0.0	68.0	176.0	0.0	0.0	0.0	3.0
DQ644497.1.1533	0.0	812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU434595.1.1446	0.0	0.0	0.0	0.0	25.0	76.0	0.0	0.0	0.0	0.0
CP020566.138961.140529	0.0	0.0	178.0	526.0	0.0	0.0	0.0	0.0	0.0	0.0
LN851763.1.1552	0.0	786.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB547703.1.1492	0.0	0.0	321.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0
KY933306.1.1236	0.0	0.0	0.0	0.0	0.0	0.0	28.0	330.0	0.0	0.0
JQ453519.1.1312	0.0	0.0	144.0	32.0	0.0	0.0	4.0	0.0	0.0	0.0
JF146311.1.1361	0.0	0.0	469.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC814652.1.1250	0.0	0.0	0.0	0.0	0.0	0.0	77.0	118.0	0.0	0.0
AEPX01000015.105.1663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.0	461.0
GQ057672.1.1339	0.0	0.0	300.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ449602.1.1397	0.0	0.0	83.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
LN560890.1.1325	0.0	177.0	0.0	0.0	0.0	0.0	11.0	25.0	0.0	0.0
EF018956.1.1514	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0
KF278946.1.1369	0.0	0.0	0.0	0.0	0.0	0.0	166.0	634.0	0.0	0.0
FJ557362.1.1364	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ136666.1.1395	0.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF843576.1.1351	0.0	0.0	193.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ474430.1.1348	0.0	0.0	217.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0
AF233876.1.1443	0.0	0.0	0.0	0.0	0.0	0.0	56.0	77.0	0.0	0.0
KX792217.1.1200	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
JN082691.1.1515	0.0	0.0	0.0	0.0	0.0	0.0	358.0	312.0	0.0	0.0
HM439457.1.1365	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0
KF101997.1.1369	0.0	0.0	18.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0
CP009215.622461.623988	0.0	0.0	0.0	0.0	28.0	57.0	47.0	193.0	0.0	0.0
KP120808.1.1282	0.0	0.0	0.0	0.0	0.0	0.0	240.0	202.0	0.0	0.0
EF660757.1.1300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0
JF204045.1.1361	0.0	0.0	0.0	0.0	115.0	576.0	0.0	0.0	0.0	0.0
FMIU01000008.154776.156282	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU728730.1.1519	0.0	0.0	0.0	0.0	0.0	0.0	8.0	786.0	0.0	0.0
JQ460078.1.1253	0.0	0.0	107.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ460176.1.1377	0.0	0.0	26.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ823143.1.1436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
EF019669.1.1293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0
JQ453270.1.1420	0.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MH447060.1.1253	0.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
MK005285.1.1200	0.0	251.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0
JQ460147.1.1404	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF080191.1.1336	0.0	0.0	236.0	41.0	0.0	0.0	0.0	40.0	0.0	0.0
MF360110.1.1460	0.0	0.0	0.0	0.0	13.0	32.0	0.0	0.0	0.0	0.0
