#OTU_Table	Sa-01	Sa-05	Sem-01	Sem-03	Sk-01	Sk-04	V-01	V-03
AY995250.1.1365	0	0	0	0.00325309043591412	0	0	0.9442218798151	0.933317108785593
GFIM01005958.9.1236	0	0	0.0158870255957635	0.021036651485578	0.365259548303181	0.265101477122613	0	0
EU293341.1.1257	0	0	0.00529567519858782	0	0.00922312876906704	0.00864657139425964	0	0.000243368216110976
HAAC01027432.1.1206	0	0	0	0.000650618087182824	0.194040439872295	0.0972739281854209	0	0
MH447042.1.1230	0	0	0.105030891438658	0.113641292561267	0.0056757715501951	0.048216644649934	0	0
KF803585.1.1370	0	0	0	0	0.00543928106893697	0	0	0
AB071950.1.1341	0	0	0.00706090026478376	0	0.0287335934728627	0.0010207757896001	0	0
FJ981654.1.1204	0	0	0.0326566637246249	0.0268922142702234	0.00283788577509755	0.0116488531283776	0	0
JF168303.1.1318	0	0	0.107678729037952	0.174582520060724	0.00189192385006503	0.000240182538729434	0	0.000486736432221952
HQ810027.1.1241	0.051623848763936	0.0140553336292351	0.0794351279788173	0.0108436347863804	0.00165543336880691	0.00654497418037709	0	0
JQ855614.1.1252	0	0	0.0626654898499559	0.0520494469746259	0	0.00480365077458869	0	0
FJ217186.1.1455	0	0	0	0	0.00307437625635568	0	0	0
EU704912.1.1289	0	0	0.00970873786407767	0	0	0	0	0
JQ460118.1.1339	0.0791323315559864	0.0258914040538541	0	0	0	0	0	0
AB680259.1.1475	0	0	0	0	0	0.000180136904047076	0	0
MH447052.1.1239	0.0184197770237518	0.033288948069241	0	0	0	0	0	0
FJ562154.1.1226	0	0	0	0	0.000827716684403453	0.00684520235378888	0	0
MK000629.1.1213	0	0	0	0	0.0132434669504552	0.02545934910532	0	0
EU801584.1.1413	0	0	0.00529567519858782	0	0.020101690906941	0	0	0
HM021549.1.1459	0	0	0	0	0	0	0	0.000365052324166464
KU324914.1.1231	0	0	0	0	0.0120610145441646	0.112645610664105	0	0
MH235996.1.1215	0	0	0	0	0.000591226203145323	0	0	0
JF220967.1.1337	0.0402326708676684	0	0	0	0	0.00120091269364717	0	0
KU324909.1.1217	0	0	0	0	0.0100508454534705	0.0201152876185901	0	0
KF084442.1.1326	0	0	0.0264783759929391	0.0520494469746259	0	0.000300228173411793	0	0.00158189340472134
GQ083830.1.1341	0	0	0	0.00802428974192149	0	0.00114086705896481	0	0
EU764527.1.1303	0.0283567619970916	0.0306258322237017	0	0	0	0	0	0
ARGD01000016.303.1794	0	0	0.060017652250662	0.038169594448059	0	0	0	0.000365052324166464
EU434595.1.1446	0	0	0.0220653133274493	0.0164823248752982	0	0	0	0
CP020566.138961.140529	0.021570528356762	0.0778221630418701	0	0	0	0	0	0
AB547703.1.1492	0.038899660688318	0.0165704985944666	0	0	0	0	0	0
KY933306.1.1236	0	0	0	0	0.00331086673761381	0.0198150594451783	0	0
JQ453519.1.1312	0.0174503150751333	0.00473442816984761	0	0	0.000472980962516259	0	0	0
JF146311.1.1361	0.0568347067377605	0	0	0	0	0	0	0
KC814652.1.1250	0	0	0	0	0.00910488352843798	0.00708538489251831	0	0
AEPX01000015.105.1663	0	0	0	0	0	0	0.0505392912172573	0.0560963738135799
GQ057672.1.1339	0.0363548230731944	0.0399467376830892	0	0	0	0	0	0
JQ449602.1.1397	0.0100581677169171	0.0110963160230803	0	0	0	0	0	0
LN560890.1.1325	0	0	0	0	0.00130069764691971	0.00150114086705896	0	0
EF018956.1.1514	0	0	0	0	0.0106420716566158	0	0	0
KF278946.1.1369	0	0	0	0	0.0196287099444247	0.0380689323886153	0	0
FJ557362.1.1364	0.0100581677169171	0	0	0	0	0	0	0
KF843576.1.1351	0.0233882695104217	0.0508951028258618	0	0	0	0	0	0
JQ474430.1.1348	0.0262966553562773	0.0590324012427874	0	0	0	0	0	0
AF233876.1.1443	0	0	0	0	0.00662173347522762	0.00462351387054161	0	0
KX792217.1.1200	0	0	0	0.00867490782910432	0	0	0	0
JN082691.1.1515	0	0	0	0	0.0423317961452052	0.0187342380208959	0	0
HM439457.1.1365	0	0	0	0	0.00461156438453352	0	0	0
KF101997.1.1369	0.00218128938439166	0.0156827933126202	0	0	0	0	0	0
CP009215.622461.623988	0	0	0.0247131509267432	0.0123617436564736	0.00555752630956604	0.0115888074936952	0	0
KP120808.1.1282	0	0	0	0	0.0283788577509755	0.0121292182058364	0	0
EF660757.1.1300	0	0	0	0	0	0.00444337696649454	0	0
JF204045.1.1361	0	0	0.101500441306267	0.124918672739102	0	0	0	0
FMIU01000008.154776.156282	0.00424139602520601	0	0	0	0	0	0	0
EU728730.1.1519	0	0	0	0	0.000945961925032517	0.0471958688603339	0	0
JQ460078.1.1253	0.0129665535627727	0.0309217339843172	0	0	0	0	0	0
JQ460176.1.1377	0.00315075133301018	0.0508951028258618	0	0	0	0	0	0
FJ823143.1.1436	0	0	0	0	0	0.000180136904047076	0	0
EF019669.1.1293	0	0	0	0	0	0.00288219046475321	0	0
JQ453270.1.1420	0.0243577314590402	0	0	0	0	0	0	0
MH447060.1.1253	0.00145419292292777	0	0	0	0	0.000180136904047076	0	0
MK005285.1.1200	0	0	0	0	0	0.0045034226011769	0	0
JQ460147.1.1404	0.00230247212796898	0	0	0	0	0	0	0
KF080191.1.1336	0.0285991274842462	0.00606598609261725	0	0	0	0.00240182538729434	0	0
MF360110.1.1460	0	0	0.0114739629302736	0.00693992626328345	0	0	0	0
KF842224.1.1431	0.0166020358700921	0.00991270898061843	0	0	0	0	0	0
KF061609.1.1285	0	0	0.00264783759929391	0	0	0.000600456346823586	0	0
AY962237.1.1371	0	0	0	0.00108436347863804	0	0	0	0
ATBY01000001.60.1575	0	0	0.0158870255957635	0.0182173064411191	0	0	0	0
FJ715928.1.1401	0	0	0.0238305383936452	0.0166991975710258	0	0	0	0
KT154886.1.1354	0	0	0	0	0	0.00108082142428245	0	0
AB547673.1.1490	0	0	0.0494263018534863	0.0446757753198872	0	0	0	0
GQ006259.1.1327	0	0	0.030008826125331	0.0420733029711559	0.00153718812817784	0	0	0
JQ460060.1.1314	0.0155113911778963	0.0011836070424619	0	0	0	0	0	0
JF043049.1.1264	0	0	0	0	0.010878562137874	0.000780593250870662	0	0
CP023863.1753390.1754923	0	0.0161266459535434	0	0	0	0	0	0
KX454112.1.1254	0	0	0	0	0	0.00306232736880029	0	0
AY958933.1.1490	0.00484730974309258	0.0281106672584702	0	0	0	0	0	0
JQ460098.1.1396	0.00557440620455647	0.0531143660304779	0	0	0	0	0	0
HE586271.1.1304	0	0	0	0	0.0060305072720823	0	0	0
MK014293.1.1228	0	0	0	0	0	0.00138104959769425	0	0
JQ014317.1.1286	0	0	0	0	0.0100508454534705	0.0146511348624955	0	0
JQ468346.1.1383	0.0075133301017935	0	0	0	0	0	0	0
KF101666.1.1371	0.00836160930683471	0.00310696848646249	0	0	0	0	0	0
KF101754.1.1382	0.00145419292292777	0	0	0	0	0	0	0
AM697030.1.1479	0	0	0	0	0	0	0	0.00109515697249939
JQ461335.1.1385	0.0201163354338342	0	0	0	0	0	0	0
